"annotation_id","annotator","created_at","disciplina","id","intent_choice","lead_time","question","question_id","split","true_answer","updated_at"
56,"1","2025-09-17T15:12:10.132832Z","Linguagens e Códigos",56,"Análise de Exemplo",31.243,"TEXTO DE REFERÊNCIA: Juízo anatômico da Bahia

Que falta nesta cidade?................Verdade.
Que mais por sua desonra?...........Honra.
Falta mais que se lhe ponha?..........Vergonha.

O demo a viver se exponha,
Por mais que a fama a exalta,
Numa cidade onde falta

Verdade, Honra, Vergonha.

Quem a pôs neste socrócio?..........Negócio.
Quem causa tal perdição?.............Ambição.
E o maior desta loucura?...............Usura.

Notável desaventura

De um povo néscio e sandeu,
Que não sabe que o perdeu
Negócio, Ambição, Usura.

Inscrito na estética do Barroco brasileiro, no trecho selecionado, o poema critica a sociedade da época, especificamente da cidade de Salvador, pela perspectiva de quê?","89569d5afc8260931867bd9a367f3d639f9e4ac72c50590202660abdfd94afcdbf896ac2d46090b026894ad86df657912937981a52a862f58e8047e70404d735","valid","denúncia da desmoralização social","2025-09-17T15:12:10.132843Z"
57,"1","2025-09-17T15:12:19.912368Z","Ciências Humanas",57,"Análise de Exemplo",8.47,"TEXTO DE REFERÊNCIA: O niilismo não é apenas uma maneira de considerar o “para nada!”, nem o pensamento de que vale destruir todas as coisas: agimos, destruímos de um extremo ao outro... Isso é ilógico, se quisermos: mas o niilista não acredita na necessidade de ser lógico... é o estado das vontades e dos espíritos fortes: e para desses espíritos não é possível se limitar ao “não” do julgamento: o não da ação procede da sua natureza... A aniquilação pelo julgamento vem depois da aniquilação através da ação.

Com base na perspectiva do autor sobre o niilismo apresentada no trecho, o que ele propõe?","28001edadda0880d377d6aff352349079cec46f811d48ab999be73b6bedd70a9cf7ea8f020c397ca9f145a55bfdfd11ade02b66fb068a880ffbcd96aa56db2fc","valid","dissolução da moral e da ética social","2025-09-17T15:12:19.912381Z"
58,"1","2025-09-17T15:12:42.063505Z","Linguagens e Códigos",58,"Análise de Exemplo",21.215,"TEXTO DE REFERÊNCIA: Memes

Os memes são imagens e textos que se espalham rapidamente pela internet, sendo imitados e reciclados, normalmente com a intenção de divertir. Acompanhe aqui os memes mais engraçados que surgem nas redes sociais e a história por trás de cada um deles.

Disponível em: www1.folha.uol.com.br. Acesso em: 24 fev. 2023.

Com base no texto acima, para entender o sentido dos memes que se espalham rapidamente pela internet, o que é necessário fazer?","1380ba0534e9ad430111898689d27f20c80f4056dbc60be774d772be75eeed1ad57146c503745197dc5693bc557f93095641261541110d33b399a48d7f9a18d0","train","conhecer o contexto em que foram criados","2025-09-17T15:12:42.063525Z"
59,"1","2025-09-17T15:12:48.537054Z","Ciências Humanas",59,"Conceitual",5.52,"TEXTO DE REFERÊNCIA: Atendendo a representação que fizestes subir a minha real presença sobre se achar interrompido, e suspenso o comércio desta capitania com grave prejuízo dos meus vassalos, e da minha Real Fazenda, em razão das críticas, e públicas circunstâncias da Europa, [...] sou servido ordenar interina, e provisoriamente enquanto não consolido um sistema geral que efetivamente regule semelhantes matérias o seguinte = primeiro, que sejam admissíveis nas Alfândegas do Brasil todos e quaisquer gêneros [...] transportados, ou em navios estrangeiros das potências que se conservam em paz e harmonia com a minha Real Coroa, ou em navios dos meus vassalos [...] Segundo: Que não só os meus vassalos, mas também os sobreditos estrangeiros possam exportar para os portos que bem lhes parecer a benefício do comércio, e agricultura [...]. Escrita na Bahia aos vinte e oito de janeiro de 1808. Príncipe.
Decreto de abertura dos portos às nações amigas. 29 jan. 1808. Disponível em: www.bndigital.bn.gov.br. Acesso em: 17 nov. 2020.

A decisão de D. João VI, então príncipe regente, de decretar, em janeiro de 1808, a abertura dos portos do Brasil deveu‑se a quê?","19f7ebbc590ddab21c2a27e0940e011efab1900b1e0929ea1941f92cde5c22e82f62284ed9ceb25fe7dd0b500ef36957143aa05b4e3e4bc0e36bd1365a31486f","train","Restaurar os rendimentos reais diante da instabilidade na Europa.","2025-09-17T15:12:48.537064Z"
60,"1","2025-09-17T15:12:52.066550Z","Matemática",60,"Procedimental",2.348,"TEXTO DE REFERÊNCIA: A entrada a_{ij} da matriz abaixo indica a nota que o aluno i, sendo 1 ≤ i ≤ 5 tirou na prova j, em que j = 1, se refere à prova de Linguagens; j = 2, de Ciências Humanas; j = 3, de Ciências da Natureza; j = 4, de Matemática; e j = 5, de Redação.

Matriz (cada linha = um aluno):
1: 580 800 640 940 960
2: 660 760 720 840 860
3: 640 780 860 700 720
4: 720 820 680 740 1000
5: 700 840 740 960 920

ENUNCIADO: Com base nestas informações, qual aluno obteve a maior média aritmética nas cinco provas?","b0112537332ed4e3a2e642fcd71126b19194d2d3ada00805e5196177977b5651846f3006b03c46870520b8c33a602a30e97d9df4f3eef807c27b7cb87dc829bf","train","5","2025-09-17T15:12:52.066565Z"
61,"1","2025-09-17T15:13:57.781894Z","Ciências Humanas",61,"Análise de Exemplo",64.567,"TEXTO DE REFERÊNCIA: Os sertões onde havia ouro faziam parte da velha capitania de São Paulo, povoada por mamelucos independentes e rudes: homens acostumados a andar no mata e destemidos – pra dizer o mínimo – quando chegava a hora de enfrentar os índios. Os paulistas, como começavam a ser chamados, acreditavam ter direitos especiais sobre a região, as Minas Gerais [...]. Era inevitável, entretanto, que a possibilidade da riqueza fácil atraísse gente de todas as partes do Império: as levas humanas foram chegando, os conflitos explodindo, o controle, quase sempre, se esgarçando. [...] A própria sociedade mal teve tempo de se acometer e já se viu às voltas com brigas intestinas em que se opunham paulistas e colonos de outras procedências, como baianos, para não falar dos reinóis, isto é, os nascidos em Portugal.

De acordo com a análise apresentada no excerto anterior, o conflito mencionado resultou, entre outros fatores, de que disputa?","ff89159dae969935af6685a6e2f055fee099b1b777c514168b32b42225c6286dabff091e50c8dc94d8d7c4ef1d6bdd09d9e009cbd0023a7b4e7885a0eb6fdf09","train","disputa em torno da exploração das áreas auríferas","2025-09-17T15:13:57.781904Z"
62,"1","2025-09-17T15:14:07.511444Z","Matemática",62,"Procedimental",8.533,"Trecho de notícia: “Essa será a primeira fábrica nos Estados Unidos apta a fabricar chips de 3 nanômetros, os menores e mais avançados no mercado.” Dado: 1 nm = 10⁻⁹ m.

Considere um monitor cujo comprimento é igual a 30 cm e que usa o chip de 3 nanômetros citado no texto. Quantas vezes o comprimento do monitor é maior do que o tamanho do chip?","9d89d432c293d1611b436699280e9e96ba9d7052db934aee365b08c560a1f0afd0d66101ac94963a94bb49055138fd49cb2c0b2ce3efb43c78eb81f66190825e","train","100 milhões","2025-09-17T15:14:07.511454Z"
63,"1","2025-09-17T15:14:42.094175Z","Ciências Humanas",63,"Análise de Exemplo",33.67,"TEXTO DE REFERÊNCIA: A relação entre Domitila e Pedro começou em São Paulo, cidade em que ela nasceu, dias antes dele proclamar a Independência do país. Os sete anos da união entre os dois gerou centenas de trocas de cartas de amor e confidências. ""Nada mais digo senão que sou teu, e do mesmo modo quer esteja no céu, no inferno ou não sei onde. Tu existes e existirás sempre em minha lembrança, e não passa um momento que meu coração me não doa de saudades tuas…"" dizia uma das cartas escritas por Fogo Foguinho – era assim que Pedro I assinava alguns de seus bilhetes.

PREVIDELLI, F. “Dom Pedro I e Marquesa de Santos: a relação que abalou o Império”. In: Aventuras na História. Disponível em: <https://aventurasnahistoria.uol.com.br>. Acesso em: 23 jun. 2023. (Adaptado)

Com base no texto acima, o que as cartas trocadas por Dom Pedro I e a Marquesa de Santos auxiliam a compreender?","f25d771393f726475541480cad9c2515261b1382d7d25d6a04e4c23658a3879abc3fd32c2ecf1c2dcd158feeff44115ab27ebd44d2c18192c898f91608ae6e51","train","Os bastidores das relações interpessoais das elites imperiais.","2025-09-17T15:14:42.094186Z"
64,"1","2025-09-17T15:14:50.318236Z","Ciências da Natureza",64,"Conceitual",5.462,"TEXTO DE REFERÊNCIA: A figura representa, esquematicamente, parte do ciclo de infecção de uma célula por um retrovírus. As etapas 1 e 2 mostram a entrada do vírus na célula hospedeira; a 3 mostra a liberação do material genético e da enzima transcriptase reversa no citoplasma; a 4 mostra essa enzima viral em funcionamento; e, por fim, a 5 mostra a integração do material genético produzido ao genoma da célula hospedeira.

VASCONCELOS, F. T. G. R. et al. Revisitando o Dogma Central: a relação entre genes e proteínas. Genética na Escola, v. 16, n. 2, 2021.

Qual etapa do ciclo mostrado contraria o paradigma da unidirecionalidade da informação genética proposta no dogma central da biologia molecular?","79b9f398360a6443a14a402aed07dc5d4c406a50697827d7d572a8bd8a5f09372b95ce6260608131221dca94a5422fb1019eaeebcbace3aa874ef4df9d26fdda","train","4","2025-09-17T15:14:50.318246Z"
65,"1","2025-09-17T17:04:12.777143Z","Ciências da Natureza",65,"Conceitual",6561.464,"TEXTO DE REFERÊNCIA: Grandes quantidades de compostos químicos são cotidianamente emitidas para a atmosfera devido à circulação de veículos e ao funcionamento de indústrias, entre outras atividades humanas. Essa emissão é composta de gases como: monóxido de carbono (CO), dióxido de carbono (CO2), óxidos de nitrogênio (NOx), hidrocarbonetos (HC), óxidos de enxofre (SOx), etc. Entre os impactos mais conhecidos pela emissão de gases poluentes para a atmosfera estão, o aquecimento global, o agravamento do efeito estufa, a destruição da camada de ozônio e a formação do “smog” fotoquímico, da chuva ácida e do material particulado (MP).

A elevação das concentrações de CO2 e SO2 está associada, respectivamente, à intensificação de quais fenômenos?","d205d501794e399496325fae51b897e97acbfb902f0ef4e47a16f065b0375cd0d097ad7d40510ba666df4c04d799c52fcc86187250cd7779ba717bc9e9cfb7af","train","efeito estufa e chuva ácida","2025-09-17T17:04:12.777157Z"
1,"1","2025-09-17T13:38:26.674659Z","Ciências da Natureza",66,"Conceitual",295.892,"TEXTO DE REFERÊNCIA: O ácido fórmico (HCOOH) […] acaba de se tornar o elemento central em uma fonte alternativa de energia: as células de combustível microbianas […]. Usando apenas componentes disponíveis comercialmente, os pesquisadores projetaram uma célula na qual catalisadores inorgânicos convertem o dióxido de carbono (CO2) em ácido fórmico. Uma vez produzido e extraído o ácido fórmico do eletrólito, ele é usado para alimentar um segundo dispositivo – a célula de combustível microbiana –, onde as bactérias o convertem lentamente em dióxido de carbono e eletricidade.

“Biobaterias híbridas atingem eficiência para aplicações práticas”. Disponível em: <https://www.inovacaotecnologica.com.br>. Acesso em: 4 dez. 2023 (adaptado).

Durante o funcionamento da célula de combustível microbiana, também ocorre a conversão do gás oxigênio (O2) a água (H2O). Nessa célula a combustível, ocorrem as seguintes reações químicas:
HCOOH → CO2 + 2 H+ + 2 e−
4 e− + 4 H+ + O2 → 2 H2O

Qual espécie é consumida no cátodo dessa célula de combustível microbiana?","baf3bbe0fe0a0772f672916f46197e2b3880b390cbe296ffa1c9ee3a65b67e0d579c93112b2973e79d92700ce8a8c5693638e34c7470c086db39eee7c580cd52","train","gás oxigênio","2025-09-17T17:04:39.709884Z"
66,"1","2025-09-17T17:04:53.411980Z","Linguagens e Códigos",67,"Análise de Exemplo",9.955,"TEXTO DE REFERÊNCIA: Aplicativo ‘Linklado’ facilita a comunicação em

línguas indígenas
Variadas formas de escrita em línguas indígenas
combinam diacríticos (uso de sinais gráficos como `,´, ~, ^ ou ¨) e utilizam caracteres especiais, como ʉ, ɨ, ñ, ç̀, g̃, que
não estão presentes em teclados tradicionais. Para facilitar
processos de comunicação em línguas indígenas utilizando
celulares com sistema Android ou computadores com
sistema Windows, pesquisadores lançaram o aplicativo
“Linklado”, que atende às necessidades gramaticais de
mais de 40 línguas indígenas.

Idealizado por Samuel Benzecry (estudante da
Universidade de Stanford, EUA) e Juliano Portela
(estudante do ensino médio em Manaus), o “Linklado” nasce
da necessidade de preservação das línguas indígenas
faladas na Amazônia. Devido ao escasso suporte digital
que essas línguas possuem, a comunicação indígena fica
condicionada ao uso de áudios ou de substitutos para
os caracteres especiais, ameaçando a continuidade das
línguas nativas.

Disponível em: https://lunetas.com.br. Acesso em: 8 set. 2023.

Qual é o impacto apontado pelo texto ao possibilitar o uso de caracteres usados em línguas indígenas na comunicação digital?","36c414528cb4ed8dbe3f48e0456453f8a0913ef40a6bc8eb13bd93b9a03de84cd7a664c33c59737a2122911c46f28435b4b5c925d1e909ff6ef070417138d55c","train","conservação da ortografia de línguas indígenas","2025-09-17T17:04:53.411991Z"
67,"1","2025-09-17T17:05:01.129395Z","Ciências da Natureza",68,"Procedimental",6.486,"TEXTO DE REFERÊNCIA: A vitamina C (C6H8O6), também conhecida como ácido ascórbico, é um forte agente antioxidante que participa de várias reações bioquímicas no organismo humano, como na manutenção da integridade dos vasos sanguíneos, defesa contra infecções, entre outros. O ácido ascórbico não é sintetizado pelo organismo humano, e, por isso, uma pessoa adulta deve ingerir no mínimo 15 mg/dia dessa vitamina.

Considere que um homem adulto, a fim de se prevenir contra infecções, tenha bebido, em um dia, um único copo de suco de laranja que continha 3 × 10⁻⁵ mol de vitamina C. Sabendo o valor das massas molares (C = 12; H = 1; O = 16), quantos miligramas de vitamina C ele ingeriu?","8ff1a689b5803ec92bcf3d213f069467f80f4146aca464bc083531e7c3e1847c068a04c4d15ed5e54f808b599797b67ed0370f76de62e9fc6ca466c39b7bf78b","train","5,28 mg","2025-09-17T17:05:01.129404Z"
68,"1","2025-09-17T17:05:40.558327Z","Matemática",69,"Procedimental",37.792,"TEXTO DE REFERÊNCIA: Com base na leitura do texto, é notável o impacto que as redes sociais têm na construção das relações interpessoais. Suponha que, em uma rede social, o número de seguidores de cada usuário seja diretamente proporcional ao quadrado do número de postagens que ele faz por semana.

Gabriel tem 100 seguidores ao fazer duas postagens por semana. Se ele passar a fazer cinco postagens por semana, quantos seguidores ele terá?","d7ad6771410fb7f630e3e4cef29f415a65c25461043462faa93f170beef178059563f7c06bc44a3484e4fa71f6ac84d76ddeeaff3935d9dfb62549aaf391f628","train","625","2025-09-17T17:05:40.558341Z"
69,"1","2025-09-17T17:05:51.917806Z","Ciências Humanas",70,"Conceitual",13.718,"TEXTO DE REFERÊNCIA: obrigue pelo jogo do olhar: um aparelho onde as técnicas que permitem ver induzam a efeitos de poder, e onde, em troca, os meios de coerção tornem claramente visíveis aqueles sobre os quais se aplicam. Lentamente, no decorrer da Época Clássica, são construídos esses “observatórios” da multiplicidade humana para as quais a história das ciências guardou tão poucos elogios.

FOUCAULT, Michel. _Vigiar e Punir_: Nascimento da Prisão. Rio de Janeiro: Vozes, 2014.

De acordo com o trecho, a ideia de relação de poder apresentada resulta em que processo?","618971692cc48db7e93c0ce663d3782c23b94142b7e293a1d30a7a6d6902732a11adcb2bd2b1f38a4479f67a28372c5ca5854e81fe38b309f7a083600dd113ce","train","modelagem disciplinar dos corpos","2025-09-17T17:05:59.583770Z"
70,"1","2025-09-17T17:06:59.592605Z","Linguagens e Códigos",71,"Análise de Exemplo",59.029,"TEXTO DE REFERÊNCIA: — A índole do povo brasileiro é de uma bondade cativante; a sua franqueza, encantadora. [...] Aqui estou há muitos anos e nunca pensei em retirar‑me que não sentisse antecipadamente saudades. Há uma única coisa que me repugna e entristece aqui, excuso‑de lhe dizer qual seja, o meu amigo adivinha‑a; mas essa mesma extinguir‑se‑á em breve, porque, Otávio, agora o Brasil não dorme, trabalha.
— Tenho acompanhado, com júbilo o movimento abolicionista do Brasil; procurei avidamente nas correspondências dos jornais, sempre, tudo o que se referia a essa grande obra; contudo, de tão longe, não se pode fazer ideia perfeita das coisas que os jornais exageram e as traduções adulteram.
— Cuidado! Não vá expender ideias de progresso e humanidade no seio da sua fazenda. A abolição, mais dia menos dia, faz‑se; a amizade na família é que uma vez quebrada nunca mais torna a ser verdadeiramente sólida.
— Por que diz isso?
— Porque seu pai é um um dos maiores inimigos da abolição. Compreende agora?

ALMEIDA, J. L. _A família Medeiros_. Florianópolis: Mulheres, 2009.

No texto de Júlia Lopes de Almeida, publicado pela primeira vez em 1893, observa‑se, por meio do diálogo, o(a) ______.","6ffc77df9d08d55acae44aae928cd6cb0540d413ef179c4543451a13a45b2f781d826df0f09527f21401406319af8f4419f5d486d1698cf9ed586c6dbb0ee610","train","influência de grandes questões públicas nas relações familiares","2025-09-17T17:06:59.592630Z"
71,"1","2025-09-17T17:07:24.977034Z","Ciências da Natureza",72,"Procedimental",24.156,"TEXTO DE REFERÊNCIA: Fabricante A: 110 V – 1 250 W
Fabricante B: 110 V – 1 500 W
Fabricante C: 220 V – 6 000 W
Sendo fornecida nas tomadas de seu estabelecimento uma tensão média de 110 volts, a melhor escolha que dona Maria pode fazer, para economizar na conta de energia elétrica, é?","565406166048f9056be68a970c02b4c4d6113c8f8f4178886bd5676fdf26b803e1c6f205a104cbb8a53d083f0919150c8f5697d3977baf45dd9c24cd7b27aef0","train","Fabricante A","2025-09-17T17:07:24.977043Z"
72,"1","2025-09-17T17:07:34.153909Z","Linguagens e Códigos",73,"Conceitual",7.822,"TEXTO DE REFERÊNCIA: Mas em amor, assim como em tudo, a primeira saída é o mais difícil. Todas as vezes que esta ideia vinha à cabeça do pobre rapaz, passava-lhe uma nuvem escura por diante dos olhos e banhava‑se‑lhe o corpo em suor. Muitas semanas levou a compor, a estudar o que havia de dizer a Luisinha quando aparecesse o momento decisivo. Achava com facilidade milhares de ideias brilhantes; porém mal tinha assentado em que diria isto ou aquilo, e já isto e aquilo lhe não parecia bom. Por várias vezes tivera ocasião favorável para desempenhar a sua tarefa, pois estivera a sós com Luisinha; porém nessas ocasiões nada havia que pudesse vencer um tremor de pernas que se apoderava dele, e que não lhe permitia levantar‑se do lugar onde estava, e um engasgo que lhe sobrevinha, e que o impedia de articular uma só palavra.

De acordo com o trecho, qual tempo verbal está usado na expressão ""um tremor de pernas que se apoderava dele""?","b2abae2391a66c127644e9e51768a7f6e7f3f1dc487685c6940efcc1fd62049dc8717903fef8061df4b89c5d6b0a1e4c68e0138a38c009c427e93e1a6b3f9f01","train","Pretérito imperfeito do indicativo","2025-09-17T17:07:34.153920Z"
73,"1","2025-09-17T17:07:49.659738Z","Matemática",74,"Procedimental",14.243,"TEXTO DE REFERÊNCIA: Los Angeles, onde as temperaturas podem ultrapassar 40 °C no verão, é uma das primeiras megalópoles do mundo a testar o cool pavement, do inglês, “pavimento fresco”. Essa técnica consiste em pintar algumas ruas ao longo da cidade com um revestimento especial de cor branco cinzento. O pavimento de asfalto negro comum absorve entre 80% e 95% da luz solar, enquanto o revestimento claro a reflete, abaixando a temperatura do solo significativamente. “O calor aqui, sobre a superfície negra, é de 42 °C neste momento. E sobre a superfície já seca do outro lado, apesar de ter só uma camada de branco e ainda precisar de uma segunda mão, é de 36 °C” – afirma Jeff Luzar, vice‑presidente da companhia que fornece o revestimento, durante uma demonstração à imprensa.

Caso essa notícia fosse publicada nos Estados Unidos, que utilizam a escala Fahrenheit como unidade de medida, qual a redução de temperatura da superfície negra para o “pavimento fresco” informada na notícia?","818cbefe6ad9e320f1cbd9064631a2fea2e101ef05db192efad17fcd92c4be06fb847e4007d88abcb8acedfa9ec20d96e4dc2c903088cae2e22c53bd4b3f29e8","train","10,8 °F","2025-09-17T17:07:49.659752Z"
74,"1","2025-09-17T17:08:09.683445Z","Ciências da Natureza",75,"Conceitual",18.545,"TEXTO DE REFERÊNCIA: O esmalte do dente é constituído de um material muito pouco solúvel em água e formado, principalmente, pela hidroxiapatita (Ca5(PO4)3OH). Quando os íons cálcio (Ca2+), fosfato (PO43−) e hidroxila (OH−) se ligam para formar a hidroxiapatita, ocorre uma reação química denominada mineralização. A reação inversa à mineralização é a desmineralização, quando parte da hidroxiapatita se solubiliza na água presente na saliva.

Ca5(PO4)3OH (s) ⇌ 5 Ca2+ (aq) + 3 PO43− (aq) + OH− (aq)

Entre os fatores que estimulam a desmineralização dos dentes está o consumo de refrigerantes, que contêm ácidos inorgânicos em sua composição. A desmineralização ocorre pois os(as) ______.","2753ddf80650b022c0d336def7139053cb35a29c3d99249daab57c3b129ae7d07a8bcb95a4420059cbd28af4c9217bdb471ae3889af774c9511640f2b49a0b76","test","íons H+, formados a partir da ionização do ácido do refrigerante","2025-09-17T17:08:09.683464Z"
75,"1","2025-09-17T17:08:33.332459Z","Linguagens e Códigos",76,"Análise de Exemplo",22.564,"TEXTO DE REFERÊNCIA: Tem sido notado, nos últimos anos, o aumento do interesse dos jovens por outras práticas corporais, além das comumente difundidas nas escolas. Dentre estas práticas, o skate vem chamando atenção, pois, de acordo com dados da Confederação Brasileira de skate, existem mais de oito milhões de praticantes espalhados por todo o Brasil, em sua maioria composta de adolescentes e jovens adultos. Concordamos que é papel da escola também discutir sobre esse tema, como partilharam Velozo e Daolio: “a escola, como espaço de mediação de significados, não pode se furtar de um tratamento reflexivo sobre o skate como uma importante prática corporal constituinte da cultura corporal de movimento contemporânea”. [...] Diante desse contexto, percebe-se iminente necessidade de aproximação da Práxis educativa dos/as professores/as de Educação Física escolar, de maneira colaborativa com saberes específicos dos praticantes de skate, comumente chamados de skatistas. Para compreender as práticas corporais, que por vezes são deixadas de lado do campo da educação formal.

ENUNCIADO: Qual é o objetivo principal do texto?","805ccab2ca8833fc047d370aa58b9231ead0ebf6a872723c5cafc11830ecc4e95871f7a779bafc0e6260bad5eca621fc300007fa443281eb361dd5459b891de7","train","Debater a importância da inserção do skate como prática corporal na cultura corporal de movimento contemporânea.","2025-09-17T17:08:33.332473Z"
76,"1","2025-09-17T17:08:43.641949Z","Linguagens e Códigos",77,"Análise de Exemplo",8.699,"TEXTO DE REFERÊNCIA: Soneto de separação

De repente do riso fez‑se o pranto
Silencioso e branco como a bruma
E das bocas unidas fez‑se a espuma
E das mãos espalmadas fez‑se o espanto.

De repente da calma fez‑se o vento
Que dos olhos desfez a última chama
E da paixão fez‑se o pressentimento
E do momento imóvel fez‑se o drama.

De repente, não mais que de repente
Fez‑se de triste o que se fez amante
E de sozinho o que se fez contente.
Fez‑se do amigo próximo o distante
Fez‑se da vida uma aventura errante
De repente, não mais que de repente.

MORAES, V. Livro de sonetos. Rio de Janeiro: Sabiá, 1967.

Como o poema anterior caracteriza a separação?","c3e86d0f29d301eaa03ab04115f58f58383fef783cfb6b60701cfb41cfd242f1d82dc1bf87ea3b83210b47968bce3d6548905d2c1a642c6e47c4cadd40c971eb","train","Contrapõe as cenas de união e cisão.","2025-09-17T17:08:43.641962Z"
77,"1","2025-09-17T17:08:48.992529Z","Ciências da Natureza",78,"Conceitual",4.234,"TEXTO DE REFERÊNCIA: As células-tronco apresentam propriedades únicas de autorrenovação a longo prazo e capacidade de se diferenciar em tipos celulares mais especializados. Células-tronco embrionárias e células-tronco adultas são bastante estudadas e caracterizadas, principalmente nos modelos humanos e em camundongos, por apresentarem novas possibilidades tanto para a medicina regenerativa como para o entendimento do desenvolvimento inicial dos mamíferos. As células-tronco totipotentes estão presentes no início do desenvolvimento embrionário e podem originar qualquer célula, inclusive anexos embrionários e placenta. Esse tipo de célula-tronco é exclusivo do zigoto e pode ser encontrado no embrião até a fase da mórula.

As células-tronco totipotentes são células-tronco embrionárias que podem ser encontradas até qual fase do desenvolvimento embrionário, caracterizada por possuir de 16 a 32 células?","5a29e76351a1bf37ee54f9cba81c1eba62c425434034dd1cd009ee80bc825dd869e46d8f0a9e2b4b0ab65008807c6e0b12d63eea9eb71e48bc5b93931f52ddc3","train","Mórula","2025-09-17T17:08:48.992542Z"
78,"1","2025-09-17T17:08:55.515762Z","Linguagens e Códigos",79,"Análise de Exemplo",5.42,"TEXTO DE REFERÊNCIA: Jealousy, jealousy

I kinda wanna throw my phone across the room
‘Cause all I see are girls too good to be true
With paper white teeth and perfect bodies
Wish I didn’t care

I know their beauty is not my lack
But it feels like that weight is on my back
And I can’t let it go

Comparison is killin’ me slowly
I think I think too much

‘Bout kids who don’t know me
I’m so sick of myself
I’d rather be, rather be
Anyone, anyone else
But jealousy, jealousy started followin’ me
Started followin’ me

ENUNCIADO: Na canção, o sentimento que passou a incomodar o eu lírico foi suscitado pela","1c50e14e11bbfd89246cd1b3efea07c96072b8652106e9bad7f85fbf3f7ffd201fcabc9ec34b5ce8aec2217f4b86afa6dc9e92551a1109023db4d5929aaea2fd","train","comparação entre a sua vida e a de outras pessoas.","2025-09-17T17:08:55.515773Z"
79,"1","2025-09-17T17:09:31.404817Z","Ciências Humanas",80,"Conceitual",34.368,"TEXTO DE REFERÊNCIA: TEXTO I

Podemos dizer que o trabalho de seu corpo e a obra produzida por suas mãos são propriedade sua. Sempre que ele tira um objeto do estado em que a natureza o colocou e deixou, mistura nisso o seu trabalho e a isso acrescenta algo que lhe pertence, por isso o tornando sua propriedade […]. Sendo este trabalho uma propriedade inquestionável do trabalhador, nenhum homem, exceto ele, pode ter o direito ao que o trabalho lhe acrescentou, pelo menos quando o que resta é suficiente aos outros, em quantidade e em qualidade.

LOCKE, John. Segundo tratado sobre o governo civil: ensaio sobre a origem, os limites e os fins verdadeiros do governo civil. Petrópolis: Vozes, 1994.

TEXTO II

O trabalho anual de cada nação constitui o fundo que originalmente lhe fornece todos os bens necessários […]. O mencionado fundo consiste sempre na produção imediata do referido trabalho ou naquilo que com essa produção é comprado de outras nações […]. Essa proporção deve, em cada nação, ser regulada ou determinada por duas circunstâncias diferentes: primeiro, pela habilidade, destreza e bom senso com os quais seu trabalho for geralmente executado; em segundo lugar, pela proporção entre o número dos que executam trabalho útil e o dos que não executam tal trabalho.

SMITH, Adam. A Riqueza das Nações: investigação sobre sua natureza e suas causas. São Paulo: Abril Cultural, 1983.

Enunciado: As concepções de trabalho apresentadas nos textos se complementam na medida em que","ad8690a787cc4d62f425c2a6c2ad6eef946e2b506e30ae375de1c7ec8079512dbe976bce38711e6fa43b85178c2ffdcef99f3199bf726a096556bf97a51867db","test","fundamentam o pensamento liberal","2025-09-17T17:09:31.404830Z"
80,"1","2025-09-17T17:09:59.887327Z","Linguagens e Códigos",81,"Comparativo",27.457,"TEXTO DE REFERÊNCIA: Otávio supunha poder demolir pouco a pouco o brônzeo
egoísmo do pai e vê-lo enfim cooperar na grande obra de
humanidade e patriotismo. Precisava procurar com cuidado
as ocasiões propícias para o completo desenvolvimento da
sua ideia. Naquele momento tudo seria inútil; o comendador,
muito exaltado, não o escutaria, e ele era incapaz nesse dia
de sustentar com o velho, para cujos braços voltava cheio
de alegria, uma questão qualquer. Susteve-se, enquanto
o pai continuava amaldiçoando o tempo dos abusos e dos
ataques à propriedade alheia!
— Se eles se lembrarem de vir a Santa Genoveva –

exclamava –, os bandidos dos abolicionistas, eu sei como
os hei de receber: a tiro! Defendo a minha propriedade,
estou no meu direito. A culpa é também das autoridades,
que não amordaçam esses cachorros dos jornais que
latem, latam para os outros morderem!

ALMEIDA, Júlia Lopes de. _A Família Medeiros_. São Paulo: Hedra. p. 50-1.

ENUNCIADO: No fragmento do romance _A Família Medeiros_, são evidenciadas as diferenças ideológicas entre pai e filho, no contexto de uma fazenda paulista da década de 1870. Nesse trecho, o discurso indireto livre e o discurso direto representam, respectivamente, o(a)

RESPOSTA CORRETA: abolicionismo do filho e a virulência do escravismo legalmente amparado do pai.","b32362ca61369fbee21ea8cd5ca66d2a63341730d2385cafc249191da5699e3c02362657364759785867ddf1bfb65f1a548bde5654bf8dbb7db1faf3c8196dad","train","abolicionismo do filho e a virulência do escravismo legalmente amparado do pai","2025-09-17T17:09:59.887338Z"
81,"1","2025-09-17T17:10:07.853518Z","Ciências da Natureza",82,"Procedimental",6.896,"TEXTO DE REFERÊNCIA: Mercúrio é um planeta rochoso, sendo o menor do Sistema Solar e o mais próximo do Sol. Sua temperatura varia de 430 °C durante o dia para –180 °C durante a noite, tendo, desse modo, a maior amplitude térmica do Sistema Solar. (Amplitude térmica = diferença entre a maior e a menor temperaturas observadas.) Qual é a amplitude térmica em Mercúrio?","42aa3817ef1efe7c383910f89dfed5f865ac94048570eb19a60c0bbeab4819e8808a5ba3cbc022d0cc4f2e776290f360121e70c3dc3611048537833dd2c59c59","train","610 °C","2025-09-17T17:10:07.853551Z"
